total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =   2131.446
total time for rebalance (sec) =      6.318



     cpu #       sent     received  maxnw       minnw
       381       195       180        24        17
       382       170       174        24        17
       383       170       175        24        16
       384       178       159        23        17
       385       189       186        24        18
       386       159       174        24        17
       387       177       160        24        17
       388       158       148        24        18
       389       176       174        23        17
       390       181       172        24        15
       391       185       168        23        17
       392       146       175        24        18
       393       198       181        24        17
       394       136       172        23        19
       395       162       163        23        18
       396       209       167        24        16
       397       199       173        24        17
       398       182       178        24        18
       399       157       177        24        17
       400       156       160        23        17
       401       167       166        24        17
       402       184       176        24        18
       403       173       157        23        18
       404       149       171        24        17
       405       170       165        23        18
       406       145       170        23        17
       407       184       179        23        16
       408       158       193        23        18
       409       171       159        24        16
       410       156       190        24        17
       411       173       175        23        16
       412       141       166        24        18
       413       218       190        24        16
       414       230       196        23        17
       415       141       179        23        16
       416       160       157        24        18
       417       163       169        24        17
       418       180       178        24        17
       419       130       159        23        18
       420       143       175        23        18
       421       149       158        23        16
       422       179       158        24        16
       423       168       161        23        19
       424       165       193        24        16
       425       162       174        23        18
       426       156       160        23        17
       427       163       154        24        15
       428       141       167        23        18
       429       181       162        23        18
       430       152       170        24        17
       431       175       172        23        18
       432       189       181        24        17
       433       175       173        23        17
       434       157       157        23        18
       435       128       158        23        18
       436       149       174        24        18
       437       159       162        23        16
       438       182       174        24        17
       439       164       157        24        17
       440       154       143        23        18
       441       147       143        24        18
       442       193       168        23        18
       443       161       157        23        17
       444       181       192        23        17
       445       158       173        23        18
       446       146       172        23        16
       447       165       176        24        17
       448       130       165        23        17
       449       201       151        24        17
       450       179       159        23        17
       451       170       166        24        16
       452       170       160        23        18
       453       194       170        24        17
       454       142       153        23        17
       455       149       142        24        18
       456       151       188        23        17
       457       151       175        23        17
       458       158       156        24        16
       459       183       158        24        17
       460       189       150        24        18
       461       164       154        24        18
       462       120       123        23        19
       463       148       161        24        17
       464       176       155        23        16
       465       131       174        24        17
       466       161       155        24        17
       467       145       162        23        16
       468       161       168        24        18
       469       201       188        24        17
       470       166       162        24        18
       471       145       163        24        17
       472       128       158        24        16
       473       137       147        23        17
       474       194       164        24        18
       475       137       184        24        16
       476       202       146        24        16
       477       162       147        23        16
       478       159       168        24        17
       479       175       157        24        18
       480       207       168        24        18
       481       190       174        24        17
       482       167       186        23        16
       483       178       178        24        17
       484       194       159        23        17
       485       139       160        23        16
       486       152       151        24        17
       487       165       167        24        16
       488       183       162        24        18
       489       142       155        23        17
       490       160       154        23        16
       491       158       149        24        17
       492       153       153        24        18
       493       171       177        23        17
       494       171       167        24        18
       495       147       185        23        17
       496       178       175        24        17
       497       176       173        24        17
       498       170       155        24        16
       499       172       169        24        16

     total     82006     82006     11706      8517


checkpop calls        5000
rebalance calls       5000

number of walkers   52439975

number of walkers moved      0.156 %
